layer,bar,Det_id_0,Det_id_1,bx_shift,mean_shift
10,6,411568902,411044614,980,-26.221896383186703
10,7,411568903,411044615,980,-4.814271749755619
10,8,411568904,411044616,980,-0.8064516129032313
10,9,411568905,411044617,980,6.89149560117302
10,10,411568906,411044618,980,-29.3010752688172
10,11,411568907,411044619,980,17.00879765395895
11,0,411569152,411044864,475,0
11,1,411569153,411044865,475,-0.24437927663734627
11,2,411569154,411044866,475,0
11,3,411569155,411044867,475,0
11,4,411569156,411044868,475,2.663734115347019
11,5,411569157,411044869,475,0
11,6,411569158,411044870,475,0
11,7,411569159,411044871,475,0
11,8,411569160,411044872,475,-2.101661779081134
11,9,411569161,411044873,475,-11.21700879765396
11,10,411569162,411044874,475,0
11,11,411569163,411044875,475,0
12,0,411569408,411045120,475,0
12,1,411569409,411045121,475,0
12,2,411569410,411045122,475,-1.050830889540567
12,3,411569411,411045123,475,0
12,4,411569412,411045124,475,0
12,5,411569413,411045125,475,0
12,6,411569414,411045126,475,0
12,7,411569415,411045127,475,-1.1119257086999035
12,8,411569416,411045128,475,0
12,9,411569417,411045129,475,0
12,10,411569418,411045130,475,-4.64320625610948
12,11,411569419,411045131,475,-10.654936461388068
13,0,411569664,411045376,475,-20.149071358748778
13,1,411569665,411045377,475,0
13,2,411569666,411045378,475,0
13,3,411569667,411045379,475,0
13,4,411569668,411045380,475,-0.3176930596285459
13,5,411569669,411045381,475,-6.219452590420339
13,6,411569670,411045382,475,-2.810361681329425
13,7,411569671,411045383,475,-3.323558162267844
13,8,411569672,411045384,980,5.376344086021504
13,9,411569673,411045385,980,5.351906158357771
13,10,411569674,411045386,980,3.34799608993157
13,11,411569675,411045387,980,27.529325513196483
14,0,411569920,411045632,980,10.361681329423263
14,1,411569921,411045633,980,5.913978494623649
14,2,411569922,411045634,980,-16.520039100684258
14,3,411569923,411045635,980,17.71749755620724
14,4,411569924,411045636,980,0
14,5,411569925,411045637,980,-3.225806451612897
14,6,411569926,411045638,980,-13.44086021505376
14,7,411569927,411045639,980,-16.81329423264907
14,8,411569928,411045640,980,-2.3949169110459465
14,9,411569929,411045641,980,-12.927663734115356
14,10,411569930,411045642,980,0
14,11,411569931,411045643,980,11.852394916911052
15,0,411570176,411045888,980,0
15,1,411570177,411045889,980,0.3665689149560194
15,2,411570178,411045890,980,0
15,3,411570179,411045891,980,-9.628543499511238
15,4,411570180,411045892,980,-0.8064516129032313
15,5,411570181,411045893,980,-0.2932551319648127
15,6,411570182,411045894,980,8.89540566959922
15,7,411570183,411045895,980,-0.9530791788856305
15,8,411570184,411045896,980,-0.7697947214076208
15,9,411570185,411045897,980,35.94819159335289
15,10,411570186,411045898,980,-6.524926686217007
15,11,411570187,411045899,980,0
16,0,411570432,411046144,980,-8.504398826979468
16,1,411570433,411046145,980,-3.225806451612911
16,2,411570434,411046146,980,0
16,3,411570435,411046147,980,11.876832844574778
16,4,411570436,411046148,980,0.0
16,5,411570437,411046149,980,-1.5640273704790388
16,6,411570438,411046150,980,-26.564027370478925
16,7,411570439,411046151,980,-278.12805474095796
16,8,411570440,411046152,980,25.0
16,9,411570441,411046153,980,74.24242424242414
16,10,411570442,411046154,980,0
16,11,411570443,411046155,980,0
17,0,411570688,411046400,0,488.5386119257088
17,1,411570689,411046401,0,1.5640273704790388
17,2,411570690,411046402,0,-86.33919843597266
17,3,411570691,411046403,0,-1.5640273704789251
17,4,411570692,411046404,0,0.0
17,5,411570693,411046405,0,-23.43597262952099
17,6,411570694,411046406,0,-4.960899315738061
17,7,411570695,411046407,0,-6.842619745845468
17,8,411570696,411046408,0,-128.12805474095796
17,9,411570697,411046409,0,10.935972629520961
17,10,411570698,411046410,0,0
17,11,411570699,411046411,0,0
18,0,411570944,411046656,0,0
18,1,411570945,411046657,0,0
18,2,411570946,411046658,0,23.43597262952096
18,3,411570947,411046659,0,0
18,4,411570948,411046660,0,0
18,5,411570949,411046661,0,7.3558162267838725
18,6,411570950,411046662,0,-3.1280547409580777
18,7,411570951,411046663,0,0
18,8,411570952,411046664,0,0
18,9,411570953,411046665,0,0
18,10,411570954,411046666,0,0
18,11,411570955,411046667,0,0
