# Source file pedestal_DPM0_20220423_071447.raw
# Produced 2022-05-03 01:44:18 GMT
DetID,PEDESTAL_ADC,PEDESTAL_RMS_ADC
0x18801007,   93.124,   18.350
0x18801008,   97.264,   19.167
0x18801009,   91.315,   20.677
0x1880100a,   92.288,   18.483
0x1880100b,   96.414,   18.945
0x18801100,   88.605,   20.341
0x18801101,   90.904,   20.682
0x18801102,   91.997,   19.815
0x18801103,   89.367,   20.518
0x18801105,   95.500,    1.936
0x18801200,  100.915,    1.577
0x18801307,   95.580,    5.353
0x18880c00,  104.610,    2.192
0x18880c01,   96.511,    2.386
0x18880c02,   93.796,    1.895
0x18880c03,   95.645,    1.885
0x18880c04,   99.691,    2.455
0x18880c05,  108.923,    2.024
0x18880c06,   96.819,    2.291
0x18880c07,   94.664,    1.903
0x18880c08,   93.437,    2.010
0x18880c09,  102.081,    2.168
0x18880c0a,  110.869,    1.956
0x18880c0b,   95.522,    1.805
0x18880d00,  102.475,    1.973
0x18880d01,   95.131,    1.590
0x18880d02,   98.006,    2.516
0x18880d03,  102.498,    2.209
0x18880d04,  102.150,    2.364
0x18880d05,  103.428,    2.625
0x18880d06,   95.287,    2.557
0x18880d07,  104.994,    2.484
0x18880d08,  106.767,    3.213
0x18880d09,  104.314,    2.935
0x18880d0a,   94.610,    2.699
0x18880d0b,  109.005,    2.691
0x18880e00,  109.561,    2.473
0x18880e01,  102.795,    2.501
0x18880e02,   92.391,    2.412
0x18880e03,   95.270,    2.685
0x18880e04,  102.400,    2.620
0x18880e05,  103.831,    2.799
0x18880e06,  105.869,    2.794
0x18880e07,  107.361,    2.819
0x18880e08,  103.094,    4.101
0x18880e09,   91.165,    3.505
0x18880e0a,   94.769,    4.146
0x18880e0b,   91.688,    3.239
0x18880f00,   98.426,    5.356
0x18880f01,   93.355,    3.741
0x18880f02,  105.088,    4.027
0x18880f03,  107.222,    4.209
0x18880f04,   92.308,    3.295
0x18880f05,  101.229,    3.480
0x18880f06,  105.387,    3.861
0x18880f07,  107.121,    4.272
0x18880f08,   99.385,    3.921
0x18880f09,   94.767,    3.597
0x18880f0a,   92.632,    3.743
0x18880f0b,   91.519,    3.206
0x18881000,   89.268,   19.377
0x18881001,   95.031,   18.294
0x18881002,   92.061,   18.191
0x18881003,   91.846,   20.364
0x18881004,   92.139,   18.385
0x18881005,   96.377,   18.883
0x18881006,   91.703,   18.911
0x18881007,   91.566,   18.892
0x18881008,   92.035,   19.422
0x18881009,   92.439,   20.104
0x1888100a,   93.139,   18.720
0x1888100b,   91.851,   19.956
0x18881100,   96.061,   18.543
0x18881101,   92.240,   18.215
0x18881102,   92.886,   20.496
0x18881103,   92.694,   20.326
0x18881107,  100.750,    1.392
