DetID,bx_shift,mean_shift
411567623,975,14.112903225806448
411567872,975,-17.17986314760509
411567873,975,1.7106549364613954
411567874,975,16.61779081133919
411567875,975,5.425219941348978
411567876,975,-3.4213098729227767
411567877,975,4.47214076246334
411567878,975,30.645161290322577
411567879,975,-15.640273704789834
411568128,975,-17.974095796676444
411568129,975,-4.43548387096774
411568130,975,-23.70478983382209
411568131,975,-9.384164222873892
411568132,975,-14.63831867057673
411568133,975,-21.260997067448685
411568134,975,-1.4418377321603089
411568135,975,6.329423264907135
411568384,716,20.30791788856305
411568385,716,1.9550342130987275
411568386,716,-9.921798631476053
411568387,716,-10.630498533724342
411568388,716,-19.30596285434995
411568389,716,12.023460410557185
411568390,716,-2.663734115347012
411568391,716,-4.545454545454547
411568640,716,-25.61094819159335
411568641,716,-5.840664711632453
411568642,716,-25.23216031280547
411568643,716,2.223851417399807
411568644,716,-3.2991202346041035
411568645,716,-11.11925708699902
411568646,716,-3.7145650048875822
411568647,716,-23.888074291300097
411568648,975,-23.44819159335288
411568649,975,-5.59628543499511
411568650,975,-9.017595307917889
411568651,975,0.7575757575757542
411568896,980,28.653470185728253
411568897,980,-20.405669599217987
411568898,980,-23.16715542521994
411568899,980,-0.7086999022482843
411568900,980,-0.5131964809384186
411568901,980,-20.967741935483865
411568902,980,-26.001955034213104
411568903,980,-4.276637341153474
411568904,980,-0.9530791788856376
411568905,980,6.451612903225808
411568906,980,-29.80205278592376
411568907,980,16.37341153470186
411569152,475,-3.470185728250243
411569153,475,-2.4437927663734094
411569154,475,0.1466275659824063
411569155,475,-0.8308895405669574
411569156,475,2.908113391984358
411569157,475,2.1994134897360738
411569158,475,-2.1994134897360738
411569159,475,-5.57184750733137
411569160,475,-1.564027370478982
411569161,475,-6.476050830889534
411569162,475,-4.227761485826008
411569163,475,4.08113391984358
411569408,475,-3.641251221896383
411569409,475,3.690127077223849
411569410,475,0.904203323558164
411569411,475,-1.9305962854350012
411569412,475,-0.2688172043010794
411569413,475,-1.4173998044965757
411569414,475,-6.769305962854347
411569415,475,-1.9305962854349945
411569416,475,4.374389051808404
411569417,475,-3.347996089931577
411569418,475,-4.66764418377322
411569419,475,-10.092864125122183
411569664,475,-5.376344086021501
411569665,475,-4.325513196480941
411569666,475,3.4946236559139763
411569667,475,-4.64320625610948
411569668,475,-0.2688172043010723
411569669,475,0.1466275659824063
411569670,475,-2.688172043010752
411569671,475,-3.3968719452590506
411569672,980,7.2091886608015585
411569673,980,17.974095796676444
411569674,980,4.49657869012708
411569675,980,28.22580645161291
411569920,980,8.77321603128054
411569921,980,7.697947214076251
411569922,980,-8.99315738025416
411569923,980,18.328445747800583
411569924,980,6.304985337243394
411569925,980,-4.8631476050830855
411569926,980,-13.123167155425229
411569927,980,-16.61779081133919
411569928,980,0.5131964809384044
411569929,980,-15.420332355816228
411569930,980,0.0733137829912067
411569931,980,17.008797653958943
411570176,720,-6.720430107526894
411570177,720,2.5171065493646125
411570178,720,3.763440860215056
411570179,720,-0.2199413489736059
411570180,720,21.45650048875855
411570181,720,9.261974584555231
411570182,720,6.524926686217015
411570183,720,-7.600195503421318
411570184,720,23.21603128054741
411570185,720,6.573802541544481
411570186,720,-3.519061583577709
411570187,720,-10.337243401759537
411570432,720,-10.53274682306941
411570433,720,1.6129032258064555
411570434,720,2.468230694037146
411570435,720,0.9164222873900272
411570436,720,-21.67644183773216
411570437,720,2.321603128054747
411570438,720,2.5904203323558197
411570439,720,16.00684261974584
