DetID,MIPMPV_ADC,MIPWIDTH_ADC,MIP_SLOPE
0x18800403,616.6473480645761,312.44368873917193,0.007688976688966904
0x18880400,632.0263498058993,329.3104838867347,0.007460613121207717
0x18880401,629.6150678502082,337.6157122492486,0.007443806793956
0x18880402,550.5145634764434,305.7213073665444,0.008445631741276905
0x18880403,610.9751115703336,325.2241693947945,0.007683136171675491
411042820,-9999,-9999,-9999
0x18800405,700.441665429808,357.3124859532412,0.006760331017209824
0x18800406,697.6814537321617,364.68885894083166,0.0067540835987101
0x18800407,674.3791549195599,363.25898198921067,0.0069427847983749656
0x18880404,635.4734996059819,347.1575163573811,0.007344538204007406
0x18880405,716.2380210158004,368.84736385055305,0.0065989617366823345
0x18880406,635.4246040401099,318.8485803059787,0.007475409459558056
0x18880407,652.0730229490925,336.86828405073345,0.00724373942303056
0x18800503,747.4763024035196,348.66870944473806,0.006433834132105608
0x18800502,725.7997302154665,343.57493279030496,0.006610759454369841
0x18800501,704.9489404523512,333.67699666499743,0.006806380880293578
0x18800500,649.7511855377508,311.7846860223407,0.007368204982853437
0x18880503,664.7134441027804,314.89703717271846,0.007217405019103913
0x18880502,656.9904637952696,315.3270266103691,0.007286753525617218
0x18880501,667.3944667092497,325.85432289927917,0.007152372176176236
0x18880500,670.9523519412384,316.53044090310925,0.00715503325184949
0x18800507,708.1481782583371,375.2782491383375,0.006635152096983958
0x18800506,685.7195603034911,341.5222342243924,0.006936667453486468
0x18800505,698.4772235395934,330.01035201899924,0.006871442059974733
0x18800504,612.5690256986809,324.08300211746797,0.007673166683743058
0x18880507,696.5341438421245,354.9401131691609,0.006799661286729301
0x18880506,756.9267664930276,367.6493713579198,0.006312014719200119
0x18880505,662.4028005985175,343.55203232704645,0.007125147164461489
0x18880504,709.5169316065917,347.50988772370886,0.006724076770885439
0x18800600,705.6113411877845,353.5941365813908,0.006733507281255083
0x18800601,713.331025402172,368.5089864314401,0.006621697298283523
0x18800602,621.991849548973,303.3030507549747,0.007676141386161807
0x18800603,791.4408547508808,369.97464941496787,0.006074417907212235
0x18880600,617.2570408183184,330.26350112998597,0.0075964768640734166
0x18880601,596.6308737888049,304.0164537834732,0.007938310589255326
0x18880602,660.5216362013018,332.88653435055033,0.0071855285201897915
0x18880603,662.9446872945168,326.46390961476254,0.0071895874525295415
0x18800604,621.3392070161606,301.3393083609379,0.007691384145900351
0x18800605,648.9393008774861,353.3193290499245,0.007197666258457155
0x18800606,666.982035489223,373.0331826788752,0.006959057473698017
0x18800607,660.7469700779998,340.21478520394544,0.007153390829684415
0x18880604,589.6804728140532,279.19959347513986,0.008136479031717683
0x18880605,617.2587377543971,311.8606386318272,0.007685532925166063
0x18880606,555.4588442894917,265.3382922473093,0.008625400922205945
0x18880607,593.4766677501179,270.4447047428407,0.008131447652100623
0x18800703,556.8353319775352,344.1345776799496,0.008114157939778792
0x18800702,589.9395856766837,323.5199955447478,0.007904458619681679
0x18800701,479.1803944319542,376.56511002367216,0.008610626591312521
0x18800700,552.5337924096024,364.6545644906732,0.008007494925308757
0x18880703,668.6057229903018,322.2556033757289,0.007155147070949837
0x18880702,590.2754557989248,289.9501664150652,0.008078280914015941
0x18880701,596.6146404450877,376.6378539673981,0.007524123452692771
0x18880700,661.922008282297,335.9077429808136,0.007160923536760323
0x18800707,439.3835640760296,344.4698693724033,0.009400834272476111
0x18800706,579.2073591132037,307.38056737934045,0.00810980190380341
0x18800705,542.1556580181337,373.7757467760286,0.008035292028485342
0x18800704,503.90661602038097,378.48792875124605,0.008354678603626434
0x18880707,505.791687807164,370.9708137907779,0.008407251395471134
0x18880706,595.3397702062501,330.5118447230847,0.007810305918190548
0x18880705,497.6441165712685,392.2790896521671,0.008279360875895859
0x18880704,437.53538503332237,330.40261249144396,0.00959982380806201
0x18800800,602.3927395045954,338.1195937464096,0.007698525295558647
0x18800801,581.1231838509009,362.4043988643869,0.007753854592479223
0x18800802,689.663952481056,336.8813831985125,0.006920870787137828
0x18800803,633.6757342607881,409.6486053728602,0.007030490337064594
0x18880800,596.8560082470509,389.3810853950923,0.007441759499874741
0x18880801,452.97919243886355,341.09141917102073,0.009283948007348913
0x18880802,579.0160523894006,332.03963697632037,0.007966674407026648
0x18880803,657.8449080561682,328.0012743584442,0.007229133756730973
0x18800804,481.72938117590877,369.8062115526236,0.008656454913416144
0x18800805,572.9345894718857,396.83286925879503,0.00759054417244191
0x18800806,684.5162453666777,330.18058044925033,0.006987926540120699
0x18800807,665.0944898751727,304.5920175220898,0.007250633636025933
0x18880804,631.5543012688582,325.0940184116553,0.007484455046299086
0x18880805,644.8457938907383,339.39795196098555,0.007297050483391906
0x18880806,651.615590866224,357.5203635573812,0.007155474007860459
0x18880807,597.9075880436707,388.03611449044644,0.007441532337089013
0x18800903,598.3991348249947,293.63349852659724,0.007970077518385783
0x18800902,570.6801636932681,341.419530086742,0.007992046592982908
0x18800901,588.1957191024921,300.2493180845285,0.008049390092806898
0x18800900,573.2610711214217,306.3760142890201,0.008181498624330999
0x18880903,469.31267092634545,544.6672988053253,0.00693144234701471
0x18880902,550.0742803076962,291.70593644493187,0.008540649843533449
0x18880901,591.4313564681968,294.505157419942,0.008042820390084617
0x18880900,618.7474134510561,322.4398751442306,0.0076204923539808294
0x18800907,583.6548693274736,307.4989019786102,0.008060391105427809
0x18800906,642.5468086440734,335.4449428142281,0.00733553291273302
0x18800905,567.9606360401567,309.00488104924864,0.008225252178642195
0x18800904,574.4391725202303,298.68501047692655,0.008212005968612877
0x18880907,561.6931087244084,306.30164095878547,0.00831267050775136
0x18880906,583.6268775013823,316.172394208485,0.008012185098626069
0x18880905,511.6431198855052,288.4024792745697,0.009054617156901795
0x18880904,592.0702640150625,320.0718437736715,0.00790164554907857
0x18800a00,591.5101515566132,294.42782771680214,0.008042329300184907
0x18800a01,621.871825632368,309.6057823415257,0.00764938450044202
0x18800a02,536.533375637387,301.5744208482835,0.00864057413423933
0x18800a03,564.9732856329251,317.2010258157464,0.008207882220551086
0x18880a00,641.9672512894459,355.7997872638308,0.0072459074930527455
0x18880a01,578.5065434303339,317.9576475053874,0.008056523000066804
0x18880a02,543.8060231755136,353.73461217374876,0.008175673019879716
0x18880a03,648.1321620402257,344.7985397921753,0.007243589283934026
0x18800a04,585.0510503302586,308.84838606285115,0.00803779051234981
0x18800a05,548.1963270530163,277.862010705464,0.008648466895773891
0x18800a06,558.3591726454674,288.04352936505296,0.008461923643388337
0x18800a07,612.0496941047398,327.58824682347137,0.007660542773345419
0x18880a04,591.9359194569413,308.69350242765665,0.00796446853237421
0x18880a05,560.2935584830977,283.09472294224156,0.008466838657449058
0x18880a06,563.5212130802017,303.7821719979243,0.008307155248158123
0x18880a07,589.7533412934495,311.3538023932399,0.00797357801094984
0x18800a08,619.1336216083004,292.67914334756324,0.007751377482843058
0x18800a09,583.6078233287011,302.933916613371,0.00808579675857841
0x18800a0a,613.1672179859434,318.9627991361998,0.007692639583532177
0x18800a0b,636.6676959706731,309.0520701780392,0.007505051102165012
0x18880a08,530.0902386834798,280.90105341926403,0.008864019144652955
0x18880a09,587.6594289551779,269.44656102508156,0.008204629877238785
0x18880a0a,610.3456275064849,289.835250238915,0.007857288188949842
0x18880a0b,616.3338406213746,315.8923956023401,0.007675818598651247
0x18800b03,655.376694183289,318.24967410051136,0.007290351582166169
0x18800b02,670.5452965466866,326.7979425881291,0.007121002163911073
0x18800b01,600.1480397270129,291.3830933640654,0.007961468923473585
0x18800b00,560.7069073209601,274.67832157704544,0.008508339792775122
