DetID,m_adc_i,cut_point_tot,high_slope,high_offset,low_slope,low_power,low_offset,tot_not,channel,flagged
0x18880f04,1864.339331,1255.0,8.934485561,629.445846,11.746135,0.476504941,574.8373311,1129.709526,21,0
0x18800f07,1861.476202,995.0,9.105115912,650.1772592,193.4851975,0.186934058,188.7260992,1081.619473,22,0
0x18800f06,1786.393276,989.0,8.76238687,639.257592,6.018503398,0.571264883,598.4867004,1134.377175,23,0
0x18800f05,1879.425718,990.6666667,9.185189113,647.0087414,194.2907381,0.184280559,193.3003603,1092.049123,24,0
0x18800f04,1844.178411,993.3333333,8.972340549,647.1682764,203.1546347,0.179805844,193.6809937,1117.492875,25,0
0x18880f0b,1802.264327,982.6666667,8.801595921,639.1266926,8.647632578,0.523103592,579.1407935,1092.094741,27,0
0x18880f0a,1788.722095,1256.0,8.625133314,638.2944956,12.95099793,0.468858105,565.403077,1039.345358,28,0
0x18880f09,1851.448242,998.6666667,9.025532035,650.3722152,8.338687581,0.524790088,583.5332081,1075.792679,29,0
0x18880f08,1813.977761,1082.333333,8.787632318,638.6918525,7.214293854,0.532000446,628.2839661,1151.893593,30,0
0x18800f0b,1887.455258,1051.666667,9.195270979,646.6937154,9.223769342,0.513650947,580.3501795,1096.714725,31,0
0x18800f0a,1754.87394,1079.0,8.527863331,633.4154317,10.11658313,0.497199091,603.0295798,1114.36209,32,0
0x18800f09,1745.0272,993.3333333,8.545236853,645.663128,9.312593804,0.517096623,577.1290561,1057.411502,33,0
0x18800f08,1950.761892,1029.333333,9.573632322,675.9598332,80.91621425,0.264952948,415.8165447,1084.920798,34,0
0x18881208,1789.062179,1242.666667,8.805739663,635.3718914,8.063786207,0.518166169,598.5540376,1136.071955,0,0
0x18881209,1712.072376,964.0,8.462332711,632.362983,5.79702921,0.569809324,606.6103448,1172.451908,1,0
0x1888120a,1712.746786,1228.333333,8.481920313,631.8361246,7.824497911,0.526491782,580.6212624,1130.262344,2,0
0x1888120b,1757.989492,1223.666667,8.594485473,614.7793351,7.279023263,0.533606028,578.8476631,1203.896613,3,0
0x18801208,1708.755922,1218.666667,8.400412673,613.6684587,8.855977934,0.516694799,550.493703,1170.180752,4,0
0x18801209,1698.365736,923.3333333,8.3155606,603.0455258,7.060994923,0.553632312,545.1221228,1163.065403,5,0
0x1880120a,1717.071906,1102.666667,8.469647937,622.4576871,11.61291473,0.483314434,541.7784372,1090.357429,6,0
0x1880120b,1754.803443,1239.666667,8.687643956,638.1428709,10.64916087,0.487728789,589.4531955,1158.016041,7,0
0x18881303,1687.493713,958.0,8.377285755,626.5164316,73.5119874,0.278413125,378.8495075,1113.597536,9,0
0x18881302,1745.273091,964.3333333,8.676218769,627.0511835,209.4545226,0.173405988,191.0764306,1195.188237,10,0
0x18881301,1657.792924,1199.333333,8.233017204,604.6367912,8.688302275,0.518502306,550.7690606,1217.846413,11,0
0x18881300,1719.563477,1003.333333,8.458144327,617.2102149,6.768065913,0.551985724,585.7954529,1220.403083,12,0
0x18801303,1645.666181,1212.0,8.119112104,607.1766029,7.896702216,0.527783465,575.9000566,1208.937876,13,0
0x18801302,1756.378766,941.0,8.606982601,616.104867,179.6135644,0.19339594,177.1291159,1115.317669,14,0
0x18801301,1775.23802,1026.666667,8.804558755,643.3666541,6.593028911,0.548975553,613.7934411,1171.501066,15,0
0x18801300,1591.08974,928.0,7.87828409,603.2151186,172.5820332,0.197845716,183.7430039,1129.223114,16,0
0x18881307,1789.774261,961.0,8.87971518,627.2711252,196.1244948,0.182279258,186.3407946,1181.093708,18,0
0x18881305,1796.774026,1238.333333,8.959229884,641.151089,10.88327957,0.481397775,602.0744982,1185.712937,20,0
0x18881304,1707.995242,1213.333333,8.416776615,606.281254,8.610666169,0.514647468,575.1519452,1212.192912,21,0
0x18801307,1805.2532,1010.666667,8.840828157,625.320834,5.728262424,0.570599474,583.7937659,1146.353411,22,0
